AgeCategory,Sex,Year,TotalPopulation,Infected,Dead
0-1,M,2007,46 650 000,15,2
1-4,M,2007,46 650 000,113,0
5-9,M,2007,46 650 000,107,1
10-14 ,M,2007,46 650 000,99,1
15-17 ,M,2007,46 650 000,300,1
18-24 ,M,2007,46 650 000,2445,162
25-34 ,M,2007,46 650 000,6195,1365
35-44 ,M,2007,46 650 000,6310,2405
45-54 ,M,2007,46 650 000,5958,2890
55-64 ,M,2007,46 650 000,2831,1195
65 - 100,M,2007,46 650 000,1895,586
0-1,F,2007,46 650 000,7,1
1-4,F,2007,46 650 000,83,3
5-9,F,2007,46 650 000,90,0
10-14 ,F,2007,46 650 000,107,1
15-17 ,F,2007,46 650 000,303,1
18-24 ,F,2007,46 650 000,1707,91
25-34 ,F,2007,46 650 000,2821,464
35-44 ,F,2007,46 650 000,2118,512
45-54 ,F,2007,46 650 000,1482,449
55-64 ,F,2007,46 650 000,806,171
65 - 100,F,2007,46 650 000,1303,205
0-1,M,2008,46 330 000,10,0
1-4,M,2008,46 330 000,112,4
5-9,M,2008,46 330 000,86,0
10-14 ,M,2008,46 330 000,101,0
15-17 ,M,2008,46 330 000,276,2
18-24 ,M,2008,46 330 000,2316,172
25-34 ,M,2008,46 330 000,6226,1350
35-44 ,M,2008,46 330 000,6045,2349
45-54 ,M,2008,46 330 000,5853,2927
55-64 ,M,2008,46 330 000,2696,1195
65 - 100,M,2008,46 330 000,1641,484
0-1,F,2008,46 330 000,8,2
1-4,F,2008,46 330 000,84,0
5-9,F,2008,46 330 000,70,1
10-14 ,F,2008,46 330 000,119,0
15-17 ,F,2008,46 330 000,295,4
18-24 ,F,2008,46 330 000,1565,88
25-34 ,F,2008,46 330 000,2829,427
35-44 ,F,2008,46 330 000,2070,514
45-54 ,F,2008,46 330 000,1490,465
55-64 ,F,2008,46 330 000,807,182
65 - 100,F,2008,46 330 000,1226,191
0-1,M,2009,46 050 000,13,2
1-4,M,2009,46 050 000,97,2
5-9,M,2009,46 050 000,81,0
10-14 ,M,2009,46 050 000,91,1
15-17 ,M,2009,46 050 000,258,1
18-24 ,M,2009,46 050 000,2288,125
25-34 ,M,2009,46 050 000,5893,1064
35-44 ,M,2009,46 050 000,5597,1823
45-54 ,M,2009,46 050 000,4907,2258
55-64 ,M,2009,46 050 000,2532,1130
65 - 100,M,2009,46 050 000,1513,452
0-1,F,2009,46 050 000,8,0
1-4,F,2009,46 050 000,93,4
5-9,F,2009,46 050 000,76,0
10-14 ,F,2009,46 050 000,116,0
15-17 ,F,2009,46 050 000,276,0
18-24 ,F,2009,46 050 000,1464,79
25-34 ,F,2009,46 050 000,2746,343
35-44 ,F,2009,46 050 000,1964,435
45-54 ,F,2009,46 050 000,1404,336
55-64 ,F,2009,46 050 000,794,158
65 - 100,F,2009,46 050 000,1213,170
0-1,M,2010,45 780 000,10,0
1-4,M,2010,45 780 000,89,6
5-9,M,2010,45 780 000,75,1
10-14 ,M,2010,45 780 000,81,0
15-17 ,M,2010,45 780 000,226,0
18-24 ,M,2010,45 780 000,1873,122
25-34 ,M,2010,45 780 000,5462,963
35-44 ,M,2010,45 780 000,5401,1641
45-54 ,M,2010,45 780 000,4618,2085
55-64 ,M,2010,45 780 000,2367,1063
65 - 100,M,2010,45 780 000,1318,388
0-1,F,2010,45 780 000,8,2
1-4,F,2010,45 780 000,78,2
5-9,F,2010,45 780 000,71,0
10-14 ,F,2010,45 780 000,92,0
15-17 ,F,2010,45 780 000,251,2
18-24 ,F,2010,45 780 000,1417,60
25-34 ,F,2010,45 780 000,2699,281
35-44 ,F,2010,45 780 000,2001,387
45-54 ,F,2010,45 780 000,1250,275
55-64 ,F,2010,45 780 000,814,163
65 - 100,F,2010,45 780 000,1094,180
0-1,M,2011,45 500 000,20,2
1-4,M,2011,45 500 000,92,1
5-9,M,2011,45 500 000,82,0
10-14 ,M,2011,45 500 000,76,0
15-17 ,M,2011,45 500 000,196,1
18-24 ,M,2011,45 500 000,1736,101
25-34 ,M,2011,45 500 000,5441,847
35-44 ,M,2011,45 500 000,5424,1590
45-54 ,M,2011,45 500 000,4278,1815
55-64 ,M,2011,45 500 000,2457,1044
65 - 100,M,2011,45 500 000,1300,363
0-1,F,2011,45 500 000,15,1
1-4,F,2011,45 500 000,88,1
5-9,F,2011,45 500 000,72,0
10-14 ,F,2011,45 500 000,75,0
15-17 ,F,2011,45 500 000,221,0
18-24 ,F,2011,45 500 000,1329,50
25-34 ,F,2011,45 500 000,2634,245
35-44 ,F,2011,45 500 000,1957,359
45-54 ,F,2011,45 500 000,1295,242
55-64 ,F,2011,45 500 000,783,138
65 - 100,F,2011,45 500 000,1088,151
0-1,M,2012,45 453 282,16,0
1-4,M,2012,45 453 282,91,1
5-9,M,2012,45 453 282,88,1
10-14 ,M,2012,45 453 282,89,0
15-17 ,M,2012,45 453 282,193,2
18-24 ,M,2012,45 453 282,1 543,85
25-34 ,M,2012,45 453 282,5 467,781
35-44 ,M,2012,45 453 282,5 638,1508
45-54 ,M,2012,45 453 282,4 435,1750
55-64 ,M,2012,45 453 282,2 475,1026
65 - 100,M,2012,45 453 282,1 275,430
0-1,F,2012,45 453 282,18,3
1-4,F,2012,45 453 282,85,4
5-9,F,2012,45 453 282,84,0
10-14 ,F,2012,45 453 282,79,0
15-17 ,F,2012,45 453 282,211,0
18-24 ,F,2012,45 453 282,1 159,46
25-34 ,F,2012,45 453 282,2 700,252
35-44 ,F,2012,45 453 282,2 058,363
45-54 ,F,2012,45 453 282,1 325,269
55-64 ,F,2012,45 453 282,805,159
65 - 100,F,2012,45 453 282,1 124,182
0-1,M,2013,45 220 000,15,4
1-4,M,2013,45 220 000,93,2
5-9,M,2013,45 220 000,118,1
10-14 ,M,2013,45 220 000,83,0
15-17 ,M,2013,45 220 000,156,0
18-24 ,M,2013,45 220 000,1420,63
25-34 ,M,2013,45 220 000,5880,714
35-44 ,M,2013,45 220 000,6865,1390
45-54 ,M,2013,45 220 000,5399,1652
55-64 ,M,2013,45 220 000,3153,1054
65 - 100,M,2013,45 220 000,1493,354
0-1,F,2013,45 220 000,17,1
1-4,F,2013,45 220 000,92,3
5-9,F,2013,45 220 000,99,1
10-14 ,F,2013,45 220 000,86,0
15-17 ,F,2013,45 220 000,189,0
18-24 ,F,2013,45 220 000,1025,39
25-34 ,F,2013,45 220 000,2901,213
35-44 ,F,2013,45 220 000,2357,328
45-54 ,F,2013,45 220 000,1497,256
55-64 ,F,2013,45 220 000,980,151
65 - 100,F,2013,45 220 000,1245,164
0-1,M,2014,44 970 000,12,2
1-4,M,2014,44 970 000,81,1
5-9,M,2014,44 970 000,76,0
10-14 ,M,2014,44 970 000,75,0
15-17 ,M,2014,44 970 000,161,0
18-24 ,M,2014,44 970 000,1091,52
25-34 ,M,2014,44 970 000,4937,626
35-44 ,M,2014,44 970 000,6414,1210
45-54 ,M,2014,44 970 000,4736,1329
55-64 ,M,2014,44 970 000,2752,870
65 - 100,M,2014,44 970 000,1335,236
0-1,F,2014,44 970 000,10,2
1-4,F,2014,44 970 000,72,2
5-9,F,2014,44 970 000,70,0
10-14 ,F,2014,44 970 000,79,0
15-17 ,F,2014,44 970 000,134,0
18-24 ,F,2014,44 970 000,758,22
25-34 ,F,2014,44 970 000,2422,179
35-44 ,F,2014,44 970 000,2115,276
45-54 ,F,2014,44 970 000,1254,188
55-64 ,F,2014,44 970 000,825,127
65 - 100,F,2014,44 970 000,1166,118
0-1,M,2015,44 720 000,27,3
1-4,M,2015,44 720 000,108,1
5-9,M,2015,44 720 000,99,1
10-14 ,M,2015,44 720 000,72,1
15-17 ,M,2015,44 720 000,149,0
18-24 ,M,2015,44 720 000,946,37
25-34 ,M,2015,44 720 000,4699,481
35-44 ,M,2015,44 720 000,6497,1058
45-54 ,M,2015,44 720 000,4680,1128
55-64 ,M,2015,44 720 000,2913,782
65 - 100,M,2015,44 720 000,1326,273
0-1,F,2015,44 720 000,17,1
1-4,F,2015,44 720 000,101,6
5-9,F,2015,44 720 000,76,0
10-14 ,F,2015,44 720 000,68,0
15-17 ,F,2015,44 720 000,135,0
18-24 ,F,2015,44 720 000,723,20
25-34 ,F,2015,44 720 000,2314,145
35-44 ,F,2015,44 720 000,2117,227
45-54 ,F,2015,44 720 000,1217,190
55-64 ,F,2015,44 720 000,830,117
65 - 100,F,2015,44 720 000,1037,131
0-1,M,2016,44 220 000,26,0
1-4,M,2016,44 220 000,113,2
5-9,M,2016,44 220 000,85,0
10-14 ,M,2016,44 220 000,72,0
15-17 ,M,2016,44 220 000,113,1
18-24 ,M,2016,44 220 000,903,28
25-34 ,M,2016,44 220 000,4199,396
35-44 ,M,2016,44 220 000,5999,909
45-54 ,M,2016,44 220 000,4331,1015
55-64 ,M,2016,44 220 000,2997,759
65 - 100,M,2016,44 220 000,1357,241
0-1,F,2016,44 220 000,21,1
1-4,F,2016,44 220 000,102,5
5-9,F,2016,44 220 000,72,1
10-14 ,F,2016,44 220 000,80,0
15-17 ,F,2016,44 220 000,115,0
18-24 ,F,2016,44 220 000,654,13
25-34 ,F,2016,44 220 000,2284,126
35-44 ,F,2016,44 220 000,2124,208
45-54 ,F,2016,44 220 000,1323,167
55-64 ,F,2016,44 220 000,791,102
65 - 100,F,2016,44 220 000,1039,89
0-1,M,2017,44 020 000,13,1
1-4,M,2017,44 020 000,128,2
5-9,M,2017,44 020 000,92,0
10-14 ,M,2017,44 020 000,89,1
15-17 ,M,2017,44 020 000,120,2
18-24 ,M,2017,44 020 000,733,22
25-34 ,M,2017,44 020 000,3778,362
35-44 ,M,2017,44 020 000,5728,824
45-54 ,M,2017,44 020 000,4196,922
55-64 ,M,2017,44 020 000,2686,682
65 - 100,M,2017,44 020 000,1280,231
0-1,F,2017,44 020 000,15,1
1-4,F,2017,44 020 000,123,1
5-9,F,2017,44 020 000,74,0
10-14 ,F,2017,44 020 000,77,1
15-17 ,F,2017,44 020 000,132,0
18-24 ,F,2017,44 020 000,565,11
25-34 ,F,2017,44 020 000,2041,96
35-44 ,F,2017,44 020 000,2047,195
45-54 ,F,2017,44 020 000,1233,150
55-64 ,F,2017,44 020 000,834,104
65 - 100,F,2017,44 020 000,1137,126
0-1,M,2018,43 820 000,19,1
1-4,M,2018,43 820 000,81,3
5-9,M,2018,43 820 000,98,0
10-14 ,M,2018,43 820 000,87,0
15-17 ,M,2018,43 820 000,102,0
18-24 ,M,2018,43 820 000,636,19
25-34 ,M,2018,43 820 000,3349,358
35-44 ,M,2018,43 820 000,5717,861
45-54 ,M,2018,43 820 000,4292,902
55-64 ,M,2018,43 820 000,2735,650
65 - 100,M,2018,43 820 000,1251,244
0-1,F,2018,43 820 000,15,0
1-4,F,2018,43 820 000,96,2
5-9,F,2018,43 820 000,83,0
10-14 ,F,2018,43 820 000,104,0
15-17 ,F,2018,43 820 000,103,1
18-24 ,F,2018,43 820 000,535,9
25-34 ,F,2018,43 820 000,1857,92
35-44 ,F,2018,43 820 000,2061,196
45-54 ,F,2018,43 820 000,1259,150
55-64 ,F,2018,43 820 000,827,93
65 - 100,F,2018,43 820 000,1014,114
0-1,M,2019,43 610 000,21,1
1-4,M,2019,43 610 000,84,2
5-9,M,2019,43 610 000,102,0
10-14 ,M,2019,43 610 000,84,0
15-17 ,M,2019,43 610 000,104,1
18-24 ,M,2019,43 610 000,642,10
